Mass	C	H	O	N	C13	S	P	Na	El_comp	Class	NeutralMass	Error_ppm	Candidates	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	CS13	C14	C15	C16	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H16
278.0518975	9	13	9	1	0	0	0	0	CHON	Tannin	279.059174	-0.512240748	1	0	0	0	0	0	0	0	0	0	0	1420636.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1417079.4	0
278.061525	0	0	0	0	0	0	0	0		None	279.0688015	0	1	0	0	0	0	0	0	0	0	1297817.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1421306.8	0
278.063069	8	15	6	2	1	0	1	0	CHONP	AminoSugar	279.0703455	-0.780787294	1	0	0	0	0	0	0	0	0	0	0	0	0	1556716.1	0	0	0	1292998.3	0	0	0	0	0	0	0	0	0	0	1375666.6	0	0	0	0
278.0670245	13	13	6	1	0	0	0	0	CHON	Lignin	279.074301	-0.049491408	1	0	0	0	0	1336336.9	0	1648068.4	0	0	0	0	0	2307821.5	0	1874479.1	0	1515207.5	0	0	0	0	0	0	0	0	0	2091366.8	0	0	0	0	0
278.075186	13	14	6	0	1	0	0	0	CHO	Lignin	279.0824625	-0.248840717	1	1467670.4	0	0	1363001	0	0	0	0	0	0	0	0	0	0	2228017.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278.0796763	10	18	6	1	0	0	1	0	CHONP	AminoSugar	279.0869527	0.792257459	2	0	0	0	0	0	1354008.5	0	0	0	0	0	0	0	0	1805619.3	0	0	0	0	0	0	0	0	0	0	0	0	1803960.3	0	0	1700609.3	0
278.0881562	10	19	6	0	1	0	1	0	CHOP	Protein	279.0954327	-0.548242129	1	1633818.1	0	2900832	0	1496855.5	0	3967946.5	0	1849506.9	0	2411879	0	4896500.5	0	2322486	0	3582157.8	0	2463946.5	0	2160510	0	1579223.3	0	2520653.3	0	2010988.1	0	2296087.5	0	2356484.3	1400666.3
278.097851	0	0	0	0	0	0	0	0		None	279.1051275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1559486.4	0	0	0	0
278.102344	0	0	0	0	0	0	0	0		None	279.1096205	0	1	0	0	0	0	0	1589150.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278.103214	14	17	5	1	0	0	0	0	CHON	Lignin	279.1104905	0.652768442	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1285568.1	0	0	0	0
278.1115672	14	18	5	0	1	0	0	0	CHO	Lignin	279.1188437	-0.233431269	1	1512224.8	0	2055527.3	4698179.5	14012447	418370976	3145681.5	0	1480363.1	1287459	1451630	0	1696508.3	0	2410045.5	0	1470676.9	0	0	0	1687427.5	0	0	0	0	0	0	0	0	0	1262348.5	0
278.1146899	11	22	5	0	1	1	0	0	CHOS	Protein	279.1219664	0.655464511	1	0	0	2276712.3	1260484.4	0	0	2046418.4	0	1305260.3	0	2044526.9	0	1462269.3	0	1557310.5	0	2159317.8	0	0	0	0	0	0	0	2201684.8	0	1312626.9	1510340	0	0	1931533.6	1803618
278.115925	0	0	0	0	0	0	0	0		None	279.1232015	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1618958	0
